"id_hijab";"nama_hijab";"kategori_hijab";"harga_hijab"
"1";"pashmina instan mary";"pashmina ";"20000"
"2";"pashmina diamond";"pashmina";"21000"
"3";"pashmina instan anda";"pashmina";"22000"
"4";"pashmina ombre";"pashmina";"23000"
"5";"pashmina instan moza";"pashmina";"24000"
"6";"pashmina pastan qira";"pashmina";"25000"
"7";"pashmina instan sala";"pashmina";"26000"
"8";"pashmina instan maya";"pashmina";"34000"
"9";"pashmina instan bell";"pashmina";"27000"
"10";"pashmina instan flow";"pashmina ";"28000"
"11";"pashmina instan sara";"pashmina";"29000"
"12";"pashmina tazkia pad";"pashmina";"30000"
"13";"pashmina instan amir";"pashmina ";"31000"
"14";"pashmina instan luna";"pashmina";"32000"
"15";"pashmina instan aure";"pashmina ";"33000"
"16";"khimar";"modern";"35000"
"17";"bergo curly";"modern";"36000"
"18";"segiempat bella";"modern";"37000"
"19";"instan mirabilis";"modern ";"38000"
"20";"hodie prada";"modern";"39000"
"21";"khimar layer";"modern";"40000"
"22";"segiempat voal";"modern";"41000"
"23";"instan naima";"modern";"42000"
"24";"bergo lengan ";"modern";"43000"
"25";"diamond";"modern";"44000"
"26";"khimar mini";"modern";"45000"
"27";"salwa silang";"modern";"46000"
"28";"khimar hilwa";"modern";"47000"
"29";"khimar serut";"modern";"48000"
"30";"khimar amanda";"modern";"49000"
